label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
0	900 m/s	0.8294	basketball	Irvine, San Jose, Santa Ana	0.6138	badminton	1.2507	419	Sacramento	0.403
0	1053 m/s	0.4231	ice hockey	Santa Ana, Irvine, Riverside	0.4557	badminton	0.7399	305	San Diego	0.2266
2	572 m/s	0.8309	volleyball	Sacramento	0.2918	baseball, golf	1.0846	672	San Francisco, Chula Vista, Fremont	1.0579
0	1171 m/s	-0.1761	basketball	Santa Ana, Riverside, Irvine	0.9392	badminton	0.4368	-59	San Diego	0.6545
0	915 m/s	0.0725	tennis	San Jose, Irvine	0.6419	badminton	0.7257	41	San Diego	-0.0295
1	710 m/s	0.0578	boxing	San Diego	1.363	volleyball	0.5097	772	Moreno Valley	0.6488
2	739 m/s	0.387	motor sports	Oakland	0.2019	golf, baseball	0.6781	663	San Francisco, Fresno, Chula Vista	1.5795
0	759 m/s	0.4996	tennis	San Jose	0.1624	badminton	0.7658	-5	San Bernardino	0.5603
1	1102 m/s	0.5403	Golf	Long Beach	0.8215	football	1.0795	805	Moreno Valley	0.4354
0	984 m/s	-0.116	tennis	Santa Ana, Riverside	0.8159	BADMINTON	0.743	-711	Oakland, Long Beach	0.3913
4	823 m/s	0.843	baseball	Sacramento	0.8709	basketball, motor sports	0.4219	1385	Long Beach, Oakland	0.9126
4	-388 m/s	-0.0889	soccer	Sacramento	0.5214	boxing	-0.0788	1302	San Jose, Oakland, Anaheim	0.5245
1	660 m/s	0.9631	boxing	San Diego	1.1149	volleyball	1.1563	973	San Bernardino	0.7291
2	1071 m/s	0.7424	volleyball	Fresno, Stockton, Fremont, Santa Clarita	0.7663	running, baseball	0.6412	832	San Francisco	1.0169
3	807 m/s	0.8263	badminton	Bakersfield, Fresno, Fremont, Chula Vista	0.2869	tennis	1.5952	-139	Riverside, Santa Ana	1.1911
4	647 m/s	0.6924	soccer	Sacramento	0.6136	motor sports	0.2299	575	Long Beach, Anaheim, Oakland	0.8706
2	1019 m/s	0.3358	motor sports	Sacramento	1.0699	running	1.3932	507	Fresno, Santa Clarita	0.6738
1	1050 m/s	0.3281	track & field	Long Beach, Modesto	1.2138	volleyball, soccer	0.8647	921	San Bernardino	1.1072
2	822 m/s	0.3557	motor sports	Los Angeles	0.5685	running, golf	0.8156	1208	San Francisco, Fremont, Bakersfield, Fresno	1.4457
2	1307 m/s	0.1672	track & field	Los Angeles	0.5079	baseball, golf	0.7324	968	Chula Vista, San Francisco, Fremont, Bakersfield, Fresno	1.0596
0	1058 m/s	0.4099	basketball	Riverside, Santa Ana	0.9642	badminton	0.3053	140	San Diego	0.4103
0	1568 m/s	0.2043	basketball	Riverside	0.6904	badminton	0.9007	-110	San Diego	0.9286
4	447 m/s	0.9876	soccer	Sacramento	0.2235	ice hockey	0.4769	1621	Oakland, Long Beach	0.4376
4	503 m/s	1.1001	Boxing	Sacramento	0.7862	ice hockey, motor sports	-0.4131	336	San Jose	0.4477
1	1158 m/s	0.7224	boxing	San Diego, Long Beach	0.7215	football, soccer	1.3742	348	San Bernardino	0.7407
3	850 m/s	0.3974	football	Bakersfield, San Francisco, Fresno	0.67	track & field	1.2399	-142	Stockton, Los Angeles, Riverside, Modesto	1.1866
3	669 m/s	0.258	badminton	Bakersfield, Chula Vista, Santa Clarita, Stockton, San Bernardino	0.8576	tennis	0.8835	20	Riverside	0.8865
2	1093 m/s	0.7177	track & field	Oakland	0.6499	golf, running	1.0068	766	Santa Clarita	0.976
4	413 m/s	0.2713	running	Sacramento	0.1901	boxing	0.2426	80	Oakland, Long Beach	1.0031
2	1112 m/s	0.474	volleyball	Oakland, Moreno Valley	0.307	motor sports, basketball, ice hockey	0.4661	482	Chula Vista, Santa Clarita	0.9915
4	1042 m/s	0.2283	motor sports	Sacramento	NULL	motor sports, boxing, basketball	0.8731	589	Anaheim, San Jose, Oakland	0.568
2	1151 m/s	0.8676	track & field	Oakland	0.0789	running, baseball	0.8567	783	Santa Clarita, Bakersfield, San Francisco	1.0095
4	930 m/s	0.5977	soccer	Sacramento	1.3612	motor sports, ice hockey, basketball	0.1591	894	Anaheim, Long Beach, Oakland	0.6018
0	1269 m/s	0.2791	tennis	Santa Ana	0.5352	badminton	1.1908	283	Sacramento	0.3561
3	855 m/s	0.1541	badminton	Stockton, Bakersfield, San Bernardino, San Francisco, Fresno, Chula Vista	0.3803	track & field	1.206	640	Modesto	0.3714
2	1049 m/s	0.4784	motor sports	Oakland	0.1358	running	0.9088	737	Fresno, Chula Vista, San Francisco, Fremont, Bakersfield	1.2553
4	445 m/s	0.6763	soccer	Sacramento	1.5018	ice hockey, motor sports	0.0975	1127	San Jose, Anaheim	0.782
2	1278 m/s	0.4626	boxing	Los Angeles	0.5407	running	0.2321	741	Chula Vista, Fresno, San Francisco	1.0396
0	998 m/s	0.2657	golf	Riverside	0.2582	badminton	0.7057	-348	San Diego	0.6398
4	569 m/s	0.8447	running	Sacramento	0.511	motor sports, boxing	0.1612	1928	Sacramento	1.0128
0	846 m/s	0.6532	tennis	Santa Ana, Irvine, Riverside	0.8184	badminton	0.7722	379	San Diego	0.8121
2	1622 m/s	0.7709	motor sports	Sacramento	0.2564	running	0.9292	934	Fresno, Bakersfield, Chula Vista, San Francisco	?
0	1119 m/s	0.0979	basketball	SACRAMENTO	0.6126	badminton	0.6322	600	Sacramento	0.9362
3	1358 m/s	0.3094	football	San Francisco, Fremont	0.7203	tennis	0.6666	644	santa ana, stockton, los angeles, riverside	1.5673
3	934 m/s	0.0032	badminton	Fremont, Fresno	0.1411	track & field	1.6051	42	Modesto, Los Angeles, Riverside	1.1459
1	922 m/s	0.9806	boxing	Modesto	1.0399	football, volleyball	0.3101	837	Moreno Valley	0.7093
1	484 m/s	0.3804	boxing	San Diego	1.1073	football, volleyball	1.0964	806	San Bernardino	1.1242
3	824 m/s	-0.1106	baseball	Bakersfield, San Francisco, Chula Vista, Stockton, San Bernardino, Fresno	0.4905	track & field	0.798	360	Riverside, Los Angeles, Santa Ana, Modesto	0.6804
1	855 m/s	0.334	boxing	Modesto, Long Beach	0.687	volleyball, soccer	1.2527	212	Moreno Valley	0.5635
2	1266 m/s	0.2439	volleyball	Moreno Valley	0.2421	GOLF	None	1210	Fremont, Fresno, Bakersfield, Chula Vista	1.1799
0	1188 m/s	0.4594	basketball	Santa Ana, San Jose	0.7673	badminton	1.0563	-551	Sacramento	0.799
0	1400 m/s	0.3239	running	IRVINE, SANTA ANA, SAN JOSE	0.4437	badminton	0.9523	114	Sacramento	0.4142
4	255 m/s	0.5551	soccer	Fremont, Stockton	0.687	basketball, motor sports, ice hockey	0.4995	1160	Oakland, Anaheim	0.5296
3	810 m/s	-0.0669	tennis	Fresno, Fremont, Bakersfield, San Bernardino, Chula Vista	0.2795	tennis	1.1156	429	Irvine, Riverside	0.8304
3	1167 m/s	-0.1486	football	Santa Clarita, Fresno, San Bernardino, Stockton, Fremont, Chula Vista, Bakersfield	0.1042	tennis	0.861	272	Riverside, Irvine, Los Angeles, Santa Ana, Stockton	0.6208
2	1071 m/s	0.339	track & field	Moreno Valley, Oakland, Los Angeles	0.2855	golf, running	0.8796	617	Santa Clarita, Fresno, San Francisco	0.9013
2	1345 m/s	0.8889	track & field	Moreno Valley, Los Angeles, Anaheim	0.2242	basketball, motor sports	1.1561	400	Bakersfield, Fresno, Fremont, Santa Clarita, San Francisco	1.2988
4	323 m/s	-0.2323	running	San Diego	0.8121	ice hockey, basketball, boxing	0.7078	1251	Fresno, Bakersfield, San Francisco	0.4051
4	121 m/s	1.0797	running	Sacramento	1.3158	boxing	0.1631	715	Oakland, Anaheim	0.5297
2	854 m/s	0.3887	track & field	Anaheim, Moreno Valley	0.7908	golf, baseball	1.4111	305	Chula Vista	0.5862
3	1007 m/s	0.0412	baseball	Fresno	0.6006	track & field	0.9171	-1	Irvine, Riverside, Santa Ana, Modesto	0.8624
3	1145 m/s	-0.071	badminton	San Bernardino, Bakersfield, Fremont	0.451	track & field	1.3325	-66	Riverside	1.7399
1	584 m/s	0.4673	boxing	Long Beach	0.5161	motor sports	1.166	-239	Moreno Valley	0.6086
2	1052 m/s	0.3922	volleyball	Anaheim	0.151	golf	1.3434	1084	San Francisco	0.9163
3	827 m/s	0.0151	football	Santa Clarita, Bakersfield, Fresno, Fremont, Chula Vista, San Francisco, Stockton	0.4274	track & field	1.2556	-293	Modesto, Irvine, Santa Ana, Riverside	1.6753
2	1195 m/s	1.0712	motor sports	Los Angeles	0.3593	baseball	0.9983	398	San Bernardino	0.4574
2	996 m/s	0.948	volleyball	Anaheim, Oakland	-0.3742	golf	0.9217	1066	Fremont, Santa Clarita, Bakersfield	1.1693
0	761 m/s	1.2665	basketball	San Jose, Riverside, Irvine	0.7117	badminton	0.4951	235	Sacramento	-0.2344
1	953 m/s	0.4603	golf	San Diego	0.6829	volleyball	0.6801	935	Moreno Valley	1.3834
2	967 m/s	-0.3688	volleyball	Oakland	0.3772	baseball, running	0.8335	685	San Francisco, Chula Vista, Bakersfield	0.3945
4	608 m/s	0.9376	soccer	Sacramento	1.0291	basketball, motor sports	0.4398	198	San Jose	0.8963
1	1722 m/s	0.6039	track & field	Long Beach	0.7024	soccer, volleyball	1.1585	779	San Bernardino	0.3836
2	961 m/s	0.4592	track & field	Anaheim, Los Angeles, Oakland	0.1814	running, baseball	0.7356	1418	Santa Clarita, Chula Vista, Fremont, Bakersfield, San Francisco	0.3201
1	670 m/s	0.7491	boxing	Sacramento	0.7567	tennis	1.2833	779	San Bernardino	0.9736
3	1204 m/s	0.1718	baseball	Chula Vista, Fresno, Fremont, San Bernardino, Stockton, San Francisco	0.9465	n/a	0.9814	-566	Modesto, Santa Ana, Irvine	0.7586
3	983 m/s	-0.1481	football	Chula Vista, San Bernardino	0.4535	track & field	1.4496	590	Irvine, Modesto	0.6039
3	1090 m/s	0.6091	baseball	San Bernardino, Bakersfield, San Francisco, Chula Vista, Santa Clarita, Fresno, Fremont	1.059	track & field	1.307	247	Santa Ana	1.1732
1	703 m/s	0.3498	boxing	Modesto	0.8337	soccer	1.1594	1075	Moreno Valley	0.8459
0	697 m/s	0.8421	tennis	Riverside, Santa Ana, San Jose	0.5943	badminton	0.5517	606	Sacramento	0.4368
4	542 m/s	0.5281	soccer	sacramento	0.7597	motor sports	0.6613	265	Anaheim, Oakland, San Jose	1.1049
1	1238 m/s	0.2055	ice hockey	San Diego	0.8894	football, soccer	1.7441	1610	Los Angeles, Riverside, Stockton, Santa Ana, Modesto	0.9899
0	1103 m/s	0.2886	basketball	San Jose	0.8731	badminton	1.1281	530	Riverside	-0.3077
0	850 m/s	0.9021	ice hockey	Riverside	0.765	badminton	1.1257	-347	Fremont, Chula Vista, San Francisco	0.6305
4	228 m/s	0.8805	running	Sacramento	1.0814	motor sports	NULL	919	Long Beach, Oakland	0.5726
4	238 m/s	0.2975	tennis	Sacramento	0.8749	motor sports	0.6114	1497	Oakland	0.7389
0	780 m/s	0.4871	baseball	Riverside, San Jose, Irvine	1.0332	badminton	1.0877	-292	Sacramento	0.624
3	309 m/s	-0.5177	football	Fremont, San Francisco, Santa Clarita, Bakersfield, San Bernardino, Chula Vista	0.4249	track & field	0.2657	278	Irvine, Stockton	1.3288
4	126 m/s	0.7575	soccer	Sacramento	0.5072	ice hockey, motor sports, basketball	0.6021	910	Long Beach, Anaheim	0.2975
4	202 m/s	0.8074	running	Sacramento	0.8936	None	0.1366	201	San Bernardino	0.9401
4	748 m/s	0.8177	running	Irvine, Santa Ana	0.7277	ice hockey	0.0976	1104	Anaheim, San Jose, Oakland	0.8036
3	1136 m/s	0.4535	badminton	San Francisco, Fresno, Stockton	0.3785	tennis	0.6506	-312	Moreno Valley	1.6005
4	871 m/s	0.7295	running	Sacramento	0.8493	ice hockey, boxing	0.4608	1128	Long Beach	1.2821
3	851 m/s	0.3143	badminton	Long Beach	0.1451	tennis	1.109	343	Irvine, Stockton, Santa Ana, Riverside	0.711
2	1035 m/s	0.5144	volleyball	Los Angeles, Anaheim	-0.4132	baseball	0.5131	636	Bakersfield, Fresno, San Francisco	0.67
1	1364 m/s	0.7996	motor sports	San Jose, Santa Ana	0.8103	baseball	0.7944	702	San Bernardino	1.3868
0	1133 m/s	0.3612	basketball	San Bernardino, Santa Clarita, Bakersfield, Stockton, Chula Vista	0.5424	badminton	1.3023	6	Sacramento	0.3424
0	834 m/s	0.5288	tennis	San Jose, Santa Ana	0.9211	badminton	0.4823	-898	Sacramento	-0.2454
3	883 m/s	0.0529	baseball	Irvine, Santa Ana, San Jose	0.6417	tennis	1.1637	435	Santa Ana, Riverside, Stockton, Irvine	0.9917
0	1543 m/s	0.2912	tennis	Santa Ana, San Jose, Irvine	0.0941	badminton	0.6055	79	San Diego	0.4943
0	1066 m/s	-0.1371	golf	Irvine	0.8198	badminton	1.0546	155	Sacramento	0.2442
3	1464 m/s	-0.1864	soccer	Fremont	0.3279	track & field	0.8858	542	Los Angeles, Modesto	0.7889
2	816 m/s	0.2119	football	Los Angeles	0.1578	baseball	0.1881	248	Chula Vista, Santa Clarita	1.161
4	871 m/s	0.54	running	Sacramento	0.9299	boxing, ice hockey	0.2788	940	San Jose	1.586
3	1203 m/s	-0.0443	football	Bakersfield	0.1994	tennis	0.9572	58	Stockton	0.9008
1	1218 m/s	0.088	boxing	mODESTO, sAN dIEGO	1.1117	soccer, football	1.5056	638	Moreno Valley	0.647
2	943 m/s	0.003	motor sports	Oakland	0.6237	baseball	1.1131	459	Santa Clarita, Fresno	0.652
0	1081 m/s	0.5705	basketball	Riverside, Irvine	0.6507	badminton	0.4968	53	San Diego	0.1672
3	1346 m/s	-0.3207	football	Fresno, Chula Vista, Stockton, Fremont	0.7066	tennis	0.8401	164	Long Beach, Anaheim	0.9283
1	928 m/s	-0.0144	boxing	Modesto	0.8981	football	0.9696	1334	Moreno Valley	1.2439
0	1158 m/s	1.06	tennis	Santa Ana	0.5331	badminton	0.9371	225	San Diego	0.1331
1	710 m/s	0.6231	golf	Long Beach, Modesto	1.0001	running, golf	0.8096	1293	Chula Vista, Santa Clarita, Fremont	1.1572
3	1221 m/s	0.8085	baseball	San Bernardino, Santa Clarita, San Francisco, Bakersfield	0.5647	tennis	1.1503	209	Riverside, Santa Ana, Stockton, Irvine, Los Angeles	1.1317
2	1142 m/s	0.7135	motor sports	Oakland	0.383	golf	0.8505	716	san francisco, santa clarita, fremont, fresno, chula vista	1.0771
1	1453 m/s	0.9722	boxing	Anaheim, Oakland, Los Angeles	1.5635	soccer, volleyball	1.0377	616	mORENO vALLEY	1.3046
1	951 m/s	0.2013	boxing	San Diego	0.534	volleyball, football	1.2519	710	San Bernardino	1.1617
0	663 m/s	-0.0596	basketball	Riverside	0.4145	N/A	0.9814	-4	San Diego	0.491
1	1375 m/s	0.6729	boxing	San Diego, Modesto	1.0986	football	0.6927	1226	San Bernardino	1.4894
0	689 m/s	-0.3473	tennis	San Jose	0.8528	badminton	0.5033	-483	Sacramento	0.2734
2	1011 m/s	0.3984	golf	Moreno Valley, Oakland	0.5401	running	0.9335	473	Bakersfield, Fremont, San Francisco	0.8019
1	646 m/s	0.5774	football	Modesto, San Diego	0.6718	soccer, volleyball	0.6721	835	Moreno Valley	0.3638
1	714 m/s	-0.0012	golf	Modesto	1.2582	football, soccer	0.9521	1258	San Bernardino	1.6233
4	746 m/s	0.7479	running	Sacramento	1.1563	Boxing, Motor Sports	0.3299	1113	Anaheim	1.0676
2	813 m/s	0.5814	volleyball	Los Angeles	-0.3541	running, golf	0.7575	596	Santa Clarita, San Francisco, Fremont	0.4332
2	1040 m/s	-0.2889	track & field	Moreno Valley, Anaheim, Oakland	0.1482	golf, baseball	0.8134	1225	Fremont	1.1509
3	1101 m/s	-0.1557	badminton	Sacramento	0.7023	track & field	0.6169	173	Santa Ana, Irvine, Stockton, Los Angeles, Riverside	0.5062
4	1157 m/s	0.5662	running	Sacramento	0.6561	ice hockey	0.2107	432	San Jose	0.4792
4	489 m/s	0.3043	running	Sacramento	0.8025	motor sports, boxing, ice hockey	0.5825	None	lONG bEACH	1.0995
3	854 m/s	0.4116	football	San Francisco, Bakersfield, Stockton, San Bernardino, Chula Vista, Fremont	0.5761	TRACK & FIELD	1.0348	-494	Modesto, Irvine	0.9787
2	806 m/s	NULL	motor sports	Moreno Valley, Anaheim, Los Angeles	0.4262	baseball	0.4628	820	San Francisco, Santa Clarita	0.9819
0	965 m/s	0.1255	track & field	Irvine	0.191	badminton	0.6872	-735	San Diego	0.1722
4	389 m/s	0.6399	soccer	Sacramento	1.0168	motor sports	0.5204	860	San Jose, Long Beach, Anaheim	0.7421
3	1488 m/s	-0.122	badminton	San Jose, Santa Ana, Irvine	0.4675	track & field	0.4599	488	Stockton, Irvine, Los Angeles	0.7376
3	994 m/s	0.2131	badminton	Stockton, Fremont, San Francisco, Chula Vista, Santa Clarita, Fresno, San Bernardino	0.3599	track & field	1.3256	319	Modesto, Stockton	0.9107
3	1332 m/s	0.2848	running	Santa Clarita, Bakersfield, Stockton, Fresno	0.5551	track & field	0.8797	301	Sacramento	1.1684
3	680 m/s	0.293	football	Fresno, San Francisco, Bakersfield, Santa Clarita, Chula Vista, Fremont	0.0831	track & field	0.9477	1334	Stockton, Irvine, Modesto	0.8061
2	1086 m/s	0.6098	motor sports	Moreno Valley	-0.0566	running	0.6037	1035	San Francisco, Santa Clarita	1.3266
0	902 m/s	0.5516	VOLLEYBALL	Riverside, Irvine, Santa Ana	0.4318	badminton	0.6204	-761	Sacramento	0.7422
2	855 m/s	0.2765	track & field	Anaheim	0.0182	running, baseball	1.0935	860	Fresno	1.0032
0	411 m/s	0.2164	ice hockey	Irvine, Riverside	0.8636	badminton	1.1742	631	San Diego	-0.0738
2	487 m/s	0.3272	motor sports	Oakland, Anaheim, Moreno Valley	0.0043	baseball, running	0.3111	747	Long Beach, Anaheim	1.3361
2	1053 m/s	0.6011	volleyball	Los Angeles, Anaheim	0.2548	baseball, golf	0.9592	310	Chula Vista, San Francisco, Santa Clarita, Fremont	1.0606
3	547 m/s	0.1167	football	San Francisco, Fresno, San Bernardino, Santa Clarita, Stockton	0.907	track & field	1.1872	1201	Modesto, Santa Ana, Stockton	1.119
1	689 m/s	0.3063	boxing	Modesto, San Diego	1.2364	track & field	1.5889	845	Santa Clarita, Fresno	0.7928
0	920 m/s	0.2988	ice hockey	San Jose	0.8076	badminton	1.413	-435		0.4728
1	680 m/s	0.5754	golf	Modesto	0.9479	volleyball, soccer	1.0777	1024	Moreno Valley	0.6196
3	1292 m/s	-0.2558	badminton	San Francisco, Fremont, Santa Clarita, Bakersfield, Fresno, Stockton, Chula Vista	1.0271	track & field	1.6255	406	Los Angeles, Riverside	0.7333
1	962 m/s	0.6382	boxing	Riverside	0.8401	volleyball	1.2256	476	San Diego	1.1159
3	1663 m/s	0.0667	badminton	Fremont, Chula Vista, Fresno, Stockton, San Bernardino, Bakersfield, San Francisco	0.9048	TRACK & FIELD	1.1766	38	Santa Ana, Riverside, Stockton	0.5099
2	1054 m/s	0.4174	volleyball	Los Angeles, Oakland	0.6249	baseball	0.8398	849	cHULA vISTA, sAN fRANCISCO, sANTA cLARITA	0.8734
2	1192 m/s	0.3863	volleyball	Oakland	0.201	golf, baseball	0.6836	561	Fremont, Fresno, Bakersfield, Santa Clarita	0.9539
3	1250 m/s	0.3093	football	Santa Clarita	0.0118	tennis	1.3306	-553	Chula Vista, Bakersfield	1.3534
4	71 m/s	0.5065	running	Sacramento	0.7726	boxing	-0.3048	464	Oakland, Long Beach, San Jose	1.0875
3	937 m/s	-0.2558	baseball	Santa Clarita, San Francisco, Fremont, Bakersfield	0.3944	tennis	1.0322	638	Los Angeles, Santa Ana, Stockton, Irvine	0.9407
3	583 m/s	-0.2963	N/A	Sacramento	0.8076	tennis	1.2867	109	Stockton, Irvine	1.487
3	1256 m/s	0.2824	baseball	San Bernardino, Santa Clarita, Bakersfield, Fremont, Chula Vista, Fresno, San Francisco	0.3349	track & field	0.8474	227	Riverside	1.0219
0	925 m/s	0.4047	ice hockey	San Jose, Santa Ana, Irvine	0.6126	badminton	0.8302	-713	San Diego	0.6014
2	1508 m/s	0.7127	VOLLEYBALL	Los Angeles, Anaheim	0.0076	baseball	1.2748	610	Long Beach	1.6311
0	986 m/s	0.9638	Basketball	Riverside, Irvine	1.1088	badminton	0.8917	-81	Sacramento	-0.2512
4	680 m/s	0.8725	soccer	SACRAMENTO	0.5956	ice hockey, basketball, boxing	0.3546	1456	Los Angeles, Stockton, Modesto, Irvine	0.687
0	666 m/s	0.6787	tennis	?	0.6831	badminton	1.0882	589	Santa Ana, Riverside, Modesto	0.1249
4	-50 m/s	0.7962	soccer	Sacramento	1.1687	boxing, basketball	0.2022	513	Long Beach, Anaheim, Oakland	1.217
3	1030 m/s	0.0836	football	San Bernardino, San Francisco, Fresno, Santa Clarita, Chula Vista, Bakersfield, Stockton	0.4087	tennis	0.8833	594	San Bernardino	1.3428
2	996 m/s	0.511	basketball	Anaheim	0.1207	running, baseball	0.7519	1042	Fresno	0.9025
1	872 m/s	0.0929	boxing		0.467	soccer, volleyball	0.8024	-528	Moreno Valley	0.9399
4	453 m/s	0.7668	running	Sacramento	0.729	boxing, motor sports, ice hockey	0.3038	1420	Irvine, Riverside, Modesto	0.5822
4	605 m/s	0.5454	running	Sacramento	0.9344	boxing, ice hockey	0.3218	813	N/A	0.4495
4	538 m/s	-0.1883	SOCCER	Sacramento	0.6445	ice hockey	0.4438	332	Oakland, Long Beach	1.0746
1	777 m/s	0.3802	motor sports	Chula Vista, San Bernardino, Fresno, Fremont, San Francisco, Bakersfield	1.0179	volleyball, football	0.7693	634	Moreno Valley	0.5913
3	1320 m/s	0.1899	baseball	Santa Clarita	0.4157	tennis	0.6463	336	Riverside, Irvine, Modesto	0.6684
3	905 m/s	0.5263	boxing	Fresno, San Bernardino, San Francisco, Bakersfield, Fremont	0.4286	tennis	1.2493	9	Modesto, Los Angeles, Riverside, Irvine, Stockton	0.8638
4	757 m/s	0.6272	soccer	Sacramento	1.3454	boxing	0.4698	1077	Oakland, Long Beach	0.9919
4	941 m/s	0.5281	soccer	Sacramento	1.2756	boxing, motor sports	0.2641	1713	Anaheim	1.0564
2	744 m/s	-0.1424	track & field	Anaheim, Los Angeles	0.4125	golf	1.1867	101	Fremont	0.7516
1	581 m/s	0.2729	golf	Modesto	0.8423	track & field	0.7259	155	Moreno Valley	0.4725
0	975 m/s	0.7112	basketball	sAN jOSE, iRVINE, rIVERSIDE	0.5312	badminton	0.9252	-446	San Diego	0.2032
0	581 m/s	-0.0261	ice hockey	Irvine, Santa Ana, San Jose	0.6087	badminton	1.1027	-536	San Bernardino	0.1983
2	541 m/s	0.5639	track & field	Oakland, Moreno Valley	0.1367	baseball	0.9892	1211	Fresno, Fremont	0.6458
4	80 m/s	-0.2573	RUNNING	Sacramento	1.4184	basketball	0.7432	1144	Oakland	1.2631
1	943 m/s	0.6117	boxing	Long Beach	1.1135	football	1.3762	860	Moreno Valley	0.7144
